Municipality;CPEs;kWh
Ribeira de Pena;35336;22027874.33
Rio Maior;240354;268470131.14
Sabrosa;78928;28504645.8
Sabugal;504220;129072572.46
Salvaterra de Magos;103720;52038426.336
Santa Comba Dão;78790;26637661.824
Santa Maria da Feira;3040338;2105037657.744
Santa Marta de Penaguião;45870;11681052.222
Santarém;1334970;931582277.928
Santiago do Cacém;308400;147856562.896
Santo Tirso;698901;851107545.886
Sardoal;15165;5530547.328
Seia;510160;196003664.934
Seixal;744488;712139026.68
Sernancelhe;80988;32585853.248
Serpa;107340;97750849.34
Sertã;205290;85375362.44
Sesimbra;220626;69857482.602
Setúbal;831688;966463167.69
Sever do Vouga;92316;36356815.264
Silves;401643;185140289.448
Sines;39824;279574596.556
Sintra;4742826;1665051943.61
Sobral de Monte Agraço;35640;12463788.03
Soure;188816;107833627.16
Sousel;28576;14039793.08
Sátão;122811;36868971.168
São Brás de Alportel;15742;5633119.914
São João da Madeira;27052;17857436.324
São João da Pesqueira;81536;27515259.508
São Pedro do Sul;220446;92271414.592
Tabuaço;75191;21703126.276
Tarouca;72655;21628335.918
Tavira;325820;122339391.696
Terras de Bouro;79200;35786494.772
Tomar;467398;218552543.264
Tondela;616448;336941694.182
Torre de Moncorvo;108180;37267146.982
Torres Novas;421762;420590894.14
Torres Vedras;1300200;634547929.262
Trancoso;187680;70153224.33
Trofa;191370;154170731.87
Tábua;130676;55654998.52
Vagos;202384;121895341.76
Vale de Cambra;134710;110080426.848
Valença;181674;99237648.708
Valongo;384976;159705434.6
Valpaços;442400;125499954.75
Vendas Novas;28196;15006256.928
Viana do Alentejo;18840;8780129.82
Viana do Castelo;2561310;2726259879.45598
Vidigueira;32392;46877818.592
Vieira do Minho;189574;110858966.144
Vila de Rei;13348;4458658.95
Vila do Bispo;47894;22610654.456
Vila do Conde;1898600;1222255411.944
Vila Flor;97223;33139772.428
Vila Franca de Xira;939660;819787621.044
Vila Nova da Barquinha;30639;11453431.568
Vila Nova de Cerveira;101955;104742101.838
Vila Nova de Famalicão;3492398;4619180696.72398
Vila Nova de Foz Côa;128060;39380190.332
Vila Nova de Gaia;4883430;2699822406.12
Vila Nova de Paiva;32914;8413883.79
Vila Nova de Poiares;29790;13800234.496
Vila Pouca de Aguiar;244030;89550382.404
Vila Real;1144836;496426126.96
Vila Real de Santo António;144426;39714050.736
Vila Velha de Ródão;28552;84091972.432
Vila Verde;1202300;604460009.604
Vila Viçosa;34972;22004990.536
Vimioso;49510;13454546.44
Vinhais;214866;61311562.728
Viseu;2707763;1315050018.2
Vizela;112540;61431976.37
Vouzela;109530;36407862.018
Águeda;545644;513904656.254
Évora;796272;571864224.696
Ílhavo;177758;128923861.216
Óbidos;136565;71210956.88
